Sr.No,Smiles,Solvent,AbsorptioMax (nm),EmissionMax (nm),Fluorescent labeling,Total Molweight,molFormula,cLogP,cLogS,H-Acceptors,H-Donors,Total Surface Area,Relative PSA,Polar Surface Area,Druglikeness,Rotatable Bonds,Weiner
1,N#Cc1cc2ccc(O)cc2oc1=O,O,355,410,Yes,187.154,C10H5NO3,0.8375,-2.346,4,1,140.28,0.35429,70.32,-4.1495,0,288
2,N#Cc1cc2ccc([O-])cc2oc1=O,O,408,450,Yes,186.146,C10H4NO3,-0.7405,-2.346,4,0,141.46,0.35968,73.15,-4.1495,0,288
3,CCCCCCCCCCCC#CC#CCCCCCCCCCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CCCCCCCCCC#CC#CCCCCCCCCCCCC)C5=O,ClC(Cl)Cl,526,535,Yes,1061.54,C73H92N2O4,24.165,-27.266,6,0,933.68,0.063469,74.76,-20.149,39,5.59E+04
4,[O-]c1c(-c2nc3ccccc3s2)cc2ccc3cccc4ccc1c2c34,CC#N,514,553.72,Yes,350.42,C23H12NOS,4.5981,-7.337,2,0,249.23,0.183,64.19,0.73261,1,1522
5,[O-]c1c(-c2nc3ccccc3s2)cc2ccc3cccc4ccc1c2c34,CS(C)=O,524,555,Yes,350.42,C23H12NOS,4.5981,-7.337,2,0,249.23,0.183,64.19,0.73261,1,1522
6,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,C1CCCCC1,350,395,Yes,231.294,C14H17NO2,2.2846,-2.735,3,0,186.82,0.14233,29.54,-4.5644,3,506
7,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,CCOC(C)=O,361,416,Yes,231.294,C14H17NO2,2.2846,-2.735,3,0,186.82,0.14233,29.54,-4.5644,3,506
8,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,CC#N,367,430,Yes,231.294,C14H17NO2,2.2846,-2.735,3,0,186.82,0.14233,29.54,-4.5644,3,506
9,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,CCO,373,451,Yes,231.294,C14H17NO2,2.2846,-2.735,3,0,186.82,0.14233,29.54,-4.5644,3,506
10,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,OCC(O)CO,384,463,Yes,231.294,C14H17NO2,2.2846,-2.735,3,0,186.82,0.14233,29.54,-4.5644,3,506
11,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,C1CCCCC1,376,433,Yes,285.264,C14H14F3NO2,2.7689,-3.475,3,0,204.02,0.13033,29.54,-7.2449,4,776
12,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,CCOC(C)=O,392,479,Yes,285.264,C14H14F3NO2,2.7689,-3.475,3,0,204.02,0.13033,29.54,-7.2449,4,776
13,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,CC#N,396,501,Yes,285.264,C14H14F3NO2,2.7689,-3.475,3,0,204.02,0.13033,29.54,-7.2449,4,776
