SMILES,Fluorescent
N#Cc1cc2ccc(O)cc2oc1=O,1
N#Cc1cc2ccc([O-])cc2oc1=O,1
CCCCCCCCCCCC#CC#CCCCCCCCCCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CCCCCCCCCC#CC#CCCCCCCCCCCCC)C5=O,1
[O-]c1c(-c2nc3ccccc3s2)cc2ccc3cccc4ccc1c2c34,1
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,1
CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,1
Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,1
O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,1
CN1CCCc2cc3c(C(F)(F)F)cc(=O)oc3cc21,1
Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,1
CCN(CC)c1ccc2cc(-c3nc4ccccc4s3)c(=O)oc2c1,1
CCN(CC)c1ccc2cc(-c3nc4ccccc4n3C)c(=O)oc2c1,1
CCNc1cc2oc(=O)cc(C)c2cc1C,1
CCNc1cc2oc(=O)cc(C(F)(F)F)c2cc1C,1
CCNc1cc2oc3c/c(=[NH+]\CC)c(C)cc-3c(-c3ccccc3C(=O)OCC)c2cc1C,1
O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12,1
O=C([O-])c1ccccc1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,1
O=C([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,1
CCC(=O)c1ccc2cc(N(C)C)ccc2c1,1
c1ccc2ccccc2c1,1
C[Si](C)(C)c1cccc2ccccc12,1
C[SiH](C)c1cccc2ccccc12,1
CCCC[Si](C)(C)c1cccc2ccccc12,1
CC(C)(C)[Si](C)(C)c1cccc2ccccc12,1
CCCCCCCC[Si](C)(C)c1cccc2ccccc12,1
C[Si](C)(C)c1ccc([Si](C)(C)C)c2ccccc12,1
C[SiH](C)c1ccc([SiH](C)C)c2ccccc12,1
CC(C)(C)[Si](C)(C)c1ccc([Si](C)(C)C(C)(C)C)c2ccccc12,1
COc1ccc([Si](C)(C)C)c2ccccc12,1
C[Si](C)(C)c1ccc(C#N)c2ccccc12,1
C[Si](C)(C)c1cccc2c(C#N)cccc12,1
C[Si](C)(C)C#Cc1cccc2ccccc12,1
C[Si](C)(C)C#Cc1ccc(C#C[Si](C)(C)C)c2ccccc12,1
CCCCCCCCCCCCn1cccc1/C=C/c1cc(OCCCC)c(/C=C/c2cccn2CCCCCCCCCCCC)cc1OCCCC,1
