Sr.No,Smiles,Solvent,AbsorptionMax (nm),EmissionMax (nm),Fluorescent labeling,Total Molweight,molFormula,cLogP,cLogS,H-Acceptors,H-Donors,Total Surface Area,Relative PSA,Polar Surface Area,Druglikeness,Rotatable Bonds,Weiner
7842,CCOc1cc2c(cc1/C=C/C1=CC(=C(C#N)C#N)CC(C)(C)C1)c1ccccc1n2CC,Cc1ccccc1,474,578,Yes,435.569,C29H29N3O,6.4004,-6.521,4,0,360.2,0.12213,61.74,-9.4916,5,3224
12561,F[B-]1(F)OC(c2ccccc2)=Nc2sc(-c3ccccc3)n[n+]21,ClC(Cl)Cl,335,413,Yes,329.137,C15H10BF2N3OS,3.3009,-4.344,4,0,228.95,0.23612,71.11,-3.1334,2,1165
14746,O=[N+]([O-])c1ccc([N+]2=Cc3ccc4c5c(ccc4c3O[B-]2(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)C=[N+](c2ccc([N+](=O)[O-])cc2)[B-](c2c(F)c(F)c(F)c(F)c2F)(c2c(F)c(F)c(F)c(F)c2F)O5)cc1,ClCCl,553,620,Yes,1144.24,C48H14B2F20N4O6,10.577,-19.434,10,0,709.52,0.12617,133.46,-12.381,8,27600
6945,CSc1ccc2c(c1)N(CCCN1CCN(C)CN1C)c1ccccc1S2,CO,314,453,Yes,400.613,C21H28N4S2,3.1719,-4.6,4,0,301.54,0.1631,63.56,6.0499,5,1888
12757,CCCCCCOc1cc(N(CC)CC)ccc1/C=C(\C#N)c1ccc(/C=C/C(=C(C#N)C#N)c2ccc(N(c3ccccc3)c3ccccc3)cc2)s1,ClCCl,557,750,Yes,727.974,C47H45N5OS,10.92,-12.556,6,0,611.2,0.12785,115.32,-17.98,17,14200
10635,NS(=O)(=O)c1ccc(N2N=C(c3ccc(O)cc3)CC2c2ccc(F)cc2)cc1,C1CCOC1,358,417,Yes,411.456,C21H18FN3O3S,3.6411,-4.466,6,2,288.61,0.24951,104.37,5.469,4,2267
7285,CS(=O)(=O)c1ccc(-c2cc3ccc(N)cc3c(=O)o2)cc1,CCCCCCCCO,366,461,Yes,315.348,C16H13NO4S,1.5718,-4.272,5,1,221.34,0.3022,94.84,-1.8983,2,1090
13606,CC(C)(C)c1ccc(-c2nc3c4ccc(-c5c6ccccc6cc6ccccc56)cc4c4cc(-c5c6ccccc6cc6ccccc56)ccc4c3n2-c2ccc(C(C)(C)C)cc2)cc1,CC#N,367,455,Yes,835.104,C63H50N2,18.013,-23.389,2,0,636.84,0.028013,17.82,-2.7304,6,17400
2808,Cc1cc(C)n2c1C=C1C(=O)N(C)C(c3ccc([N+](=O)[O-])cc3)=[N+]1[B-]2(F)F,CCCCCC,498,587,Yes,372.138,C17H15BF2N4O3,0.8162,-5.672,7,0,257.22,0.22634,82.74,-5.0481,2,1653
8207,CSc1sc(C(C)=O)c2nn[nH]c(=O)c12,CCO,397,489,Yes,241.295,C8H7N3O2S2,1.3773,-4.213,5,1,167.69,0.58686,124.43,-0.42199,2,329
15774,Cc1ccc(C(=O)OCc2c(C)c(=O)n3c(=O)c(C)c(C)n23)cc1,CCO,376,460,Yes,326.351,C18H18N2O4,1.0542,-2.817,6,0,238.75,0.23548,66.92,0.62298,4,1365
14324,COCCOc1ccc(OCCOC)c(C=O)c1,NC=O,353,464,Yes,254.281,C13H18O5,1.2679,-1.818,5,0,212.36,0.24976,53.99,-9.1135,9,719
15990,CCCCCCc1sc(CCCCCC)c2c3ccsc3c3sccc3c12,ClC(Cl)Cl,383,425,Yes,414.7,C24H30S3,9.635,-8.986,0,0,327,0.18679,84.72,-13.945,10,1840
7698,CCCCn1c2ccc(-c3ccc(OC)cc3)cc2c2ccc3c4cc(-c5ccc(OC)cc5)ccc4n(CCCC)c3c21,ClC(Cl)Cl,338,415,Yes,580.77,C40H40N2O2,10.146,-10.292,4,0,461.18,0.07316,28.32,-0.17118,10,6818
9284,Cc1ccc(C)n1-c1cccc(C#N)c1,CCCCCl,259,477,Yes,196.252,C13H12N2,2.4759,-5.438,2,0,168.45,0.12128,28.72,-3.5239,1,353
15759,CCCCCCCCCCCCOc1cc2c(cc1OCCCCCCCCCCCC)C1=C3C(=O)N4C=Cc5cc(OCCCCCCCCCCCC)c(OCCCCCCCCCCCC)cc5C4=C3C(=O)N1C=C2,CN(C)C=O,592,602,Yes,1073.64,C70H108N2O6,22.491,-16.238,8,0,928.44,0.07882,77.54,-17.841,48,41000
8297,COC1(OC)C2(Cl)c3nc4ccc(-c5cccs5)cc4nc3C1(Cl)C1C[C@@H]3[C@H](CC12)C1(Cl)c2nc4cc(-c5cccs5)ccc4nc2C3(Cl)C1(OC)OC,CC#N,366,461,Yes,838.662,C40H32Cl4N4O4S2,8.4314,-12.848,8,0,531.86,0.23427,144.96,-6.4175,6,10500
2149,COc1ccc(-c2nc(-c3ccccc3O)c(-c3ccccc3O)n2-c2ccc(C)cc2)cc1,CS(C)=O,308,389,Yes,448.521,C29H24N2O3,6.0081,-9.191,5,2,347.48,0.15552,67.51,1.0298,5,3043
11990,CC(C)(C)c1ccc(C2=C(c3ccc(N(c4ccccc4)c4ccccc4)cc3)S(=O)(=O)c3c2sc(-c2ccc(N(c4ccccc4)c4ccccc4)cc2)c3-c2ccc(C(C)(C)C)cc2)cc1,C1CCOC1,463,591,Yes,923.255,C62H54N2O2S2,15.955,-18.775,4,0,700.26,0.080027,77.24,-4.2083,12,21400
594,COc1c2ccccc2c(OC)c2c1c1ccccc1n2C,CO,405,420,Yes,291.349,C19H17NO2,4.2031,-4.947,3,0,223.04,0.12047,23.39,0.65466,2,870
11541,c1ccc(-c2nc(-c3ccc(-c4ccc(-n5c6ccccc6c6ccccc65)cc4)cn3)oc2-c2ccccc2)cc1,Cc1ccccc1,338,404,Yes,539.637,C38H25N3O,8.9434,-13.064,4,0,417.67,0.10276,43.85,-0.3029,5,6903
15676,F[B-]1(F)n2c(c3cccc4cccc2c43)=Nc2cccc[n+]21,C1CCOC1,468,518,Yes,293.083,C16H10BF2N3,2.4804,-7.341,3,0,195.89,0.083108,23.99,-3.7321,0,858
3234,CCCCCCCCN1c2ccc(C#Cc3ccc(F)cc3)cc2Sc2cc(C=O)ccc21,Cc1ccccc1,381.99,507,Yes,457.611,C29H28FNOS,9.1975,-7.966,2,0,371.34,0.091776,45.61,-22.974,9,3598
